 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
27,0.00000,16126,0,16126,16126,16126,140.29795,61.29040,1413.50000,617.50000,0,0.11200,0.11200,0,0.00000,0,158.86845,16126,NaN,NaN,100,16126,1,1413.50000,617.50000,0,0,0.00000,0.00000,NaN
28,0.00000,13038,0,13038,13038,13038,143.87115,57.71720,1449.50000,581.50000,0,0.11200,0.11200,0,0.00000,0,128.44642,13038,NaN,NaN,100,13038,1,1449.50000,581.50000,0,0,0.00000,0.00000,NaN
29,0.00000,343,0,343,343,343,146.45180,59.90082,1475.50000,603.50000,0,0.11200,0.11200,0,0.00000,0,3.37913,343,NaN,NaN,100,343,1,1475.50000,603.50000,0,0,0.00000,0.00000,NaN
30,0.00000,4803,0,4803,4803,4803,145.06222,62.48147,1461.50000,629.50000,0,0.11200,0.11200,0,0.00000,0,47.31770,4803,NaN,NaN,100,4803,1,1461.50000,629.50000,0,0,0.00000,0.00000,NaN
31,0.00000,6176,0,6176,6176,6176,148.03989,65.65765,1491.50000,661.50000,0,0.11200,0.11200,0,0.00000,0,60.84408,6176,NaN,NaN,100,6176,1,1491.50000,661.50000,0,0,0.00000,0.00000,NaN
32,0.00000,29165,0,29165,29165,29165,137.91581,70.42193,1389.50000,709.50000,0,0.11200,0.11200,0,0.00000,0,287.32472,29165,NaN,NaN,100,29165,1,1389.50000,709.50000,0,0,0.00000,0.00000,NaN
33,0.00000,13724,0,13724,13724,13724,131.96047,73.20109,1329.50000,737.50000,0,0.11200,0.11200,0,0.00000,0,135.20468,13724,NaN,NaN,100,13724,1,1329.50000,737.50000,0,0,0.00000,0.00000,NaN
34,0.00000,4460,0,4460,4460,4460,155.38482,86.89838,1565.50000,875.50000,0,0.11200,0.11200,0,0.00000,0,43.93857,4460,NaN,NaN,100,4460,1,1565.50000,875.50000,0,0,0.00000,0.00000,NaN
35,0.00000,2744,0,2744,2744,2744,152.80417,88.48647,1539.50000,891.50000,0,0.11200,0.11200,0,0.00000,0,27.03305,2744,NaN,NaN,100,2744,1,1539.50000,891.50000,0,0,0.00000,0.00000,NaN
36,0.00000,18871,0,18871,18871,18871,95.03734,96.22841,957.50000,969.50000,0,0.11200,0.11200,0,0.00000,0,185.91136,18871,NaN,NaN,100,18871,1,957.50000,969.50000,0,0,0.00000,0.00000,NaN
37,0.00000,13381,0,13381,13381,13381,85.50880,95.63288,861.50000,963.50000,0,0.11200,0.11200,0,0.00000,0,131.82555,13381,NaN,NaN,100,13381,1,861.50000,963.50000,0,0,0.00000,0.00000,NaN
38,0.00000,10636,0,10636,10636,10636,82.72964,96.62543,833.50000,973.50000,0,0.11200,0.11200,0,0.00000,0,104.78264,10636,NaN,NaN,100,10636,1,833.50000,973.50000,0,0,0.00000,0.00000,NaN
39,0.00000,30194,0,30194,30194,30194,79.95048,92.65521,805.50000,933.50000,0,0.11200,0.11200,0,0.00000,0,297.46212,30194,NaN,NaN,100,30194,1,805.50000,933.50000,0,0,0.00000,0.00000,NaN
40,0.00000,21959,0,21959,21959,21959,80.94303,89.47902,815.50000,901.50000,0,0.11200,0.11200,0,0.00000,0,216.33340,21959,NaN,NaN,100,21959,1,815.50000,901.50000,0,0,0.00000,0.00000,NaN
41,0.00000,6862,0,6862,6862,6862,86.10433,75.98025,867.50000,765.50000,0,0.11200,0.11200,0,0.00000,0,67.60234,6862,NaN,NaN,100,6862,1,867.50000,765.50000,0,0,0.00000,0.00000,NaN
42,0.00000,11322,0,11322,11322,11322,83.12666,102.77929,837.50000,1035.50000,0,0.11200,0.11200,0,0.00000,0,111.54090,11322,NaN,NaN,100,11322,1,837.50000,1035.50000,0,0,0.00000,0.00000,NaN
43,0.00000,13038,0,13038,13038,13038,80.14899,106.15398,807.50000,1069.50000,0,0.11200,0.11200,0,0.00000,0,128.44642,13038,NaN,NaN,100,13038,1,807.50000,1069.50000,0,0,0.00000,0.00000,NaN
44,0.00000,14754,0,14754,14754,14754,152.80417,50.57078,1539.50000,509.50000,0,0.11200,0.11200,0,0.00000,0,145.35193,14754,NaN,NaN,100,14754,1,1539.50000,509.50000,0,0,0.00000,0.00000,NaN
45,0.00000,10636,0,10636,10636,10636,154.98779,56.32762,1561.50000,567.50000,0,0.11200,0.11200,0,0.00000,0,104.78264,10636,NaN,NaN,100,10636,1,1561.50000,567.50000,0,0,0.00000,0.00000,NaN
46,0.00000,9950,0,9950,9950,9950,151.61310,59.10678,1527.50000,595.50000,0,0.11200,0.11200,0,0.00000,0,98.02438,9950,NaN,NaN,100,9950,1,1527.50000,595.50000,0,0,0.00000,0.00000,NaN
