 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
28,0.00000,356,0,356,356,356,135.13665,251.66286,1361.50000,2535.50000,0,0.11200,0.11200,0,0.00000,0,3.50720,356,NaN,NaN,100,356,1,1361.50000,2535.50000,0,0,0.00000,0.00000,NaN
29,0.00000,426,0,426,426,426,125.80661,226.05488,1267.50000,2277.50000,0,0.11200,0.11200,0,0.00000,0,4.19682,426,NaN,NaN,100,426,1,1267.50000,2277.50000,0,0,0.00000,0.00000,NaN
30,0.00000,427,0,427,427,427,129.37982,229.62809,1303.50000,2313.50000,0,0.11200,0.11200,0,0.00000,0,4.20667,427,NaN,NaN,100,427,1,1303.50000,2313.50000,0,0,0.00000,0.00000,NaN
31,0.00000,427,0,427,427,427,129.37982,229.62809,1303.50000,2313.50000,0,0.11200,0.11200,0,0.00000,0,4.20667,427,NaN,NaN,100,427,1,1303.50000,2313.50000,0,0,0.00000,0.00000,NaN
32,0.00000,310,0,310,310,310,130.57089,226.45191,1315.50000,2281.50000,0,0.11200,0.11200,0,0.00000,0,3.05403,310,NaN,NaN,100,310,1,1315.50000,2281.50000,0,0,0.00000,0.00000,NaN
33,0.00000,355,0,355,355,355,133.35005,229.62809,1343.50000,2313.50000,0,0.11200,0.11200,0,0.00000,0,3.49735,355,NaN,NaN,100,355,1,1343.50000,2313.50000,0,0,0.00000,0.00000,NaN
34,0.00000,145,0,145,145,145,132.35749,247.49412,1333.50000,2493.50000,0,0.11200,0.11200,0,0.00000,0,1.42850,145,NaN,NaN,100,145,1,1333.50000,2493.50000,0,0,0.00000,0.00000,NaN
35,0.00000,161,0,161,161,161,130.57089,251.86137,1315.50000,2537.50000,0,0.11200,0.11200,0,0.00000,0,1.58612,161,NaN,NaN,100,161,1,1315.50000,2537.50000,0,0,0.00000,0.00000,NaN
36,0.00000,215,0,215,215,215,130.37238,258.21373,1313.50000,2601.50000,0,0.11200,0.11200,0,0.00000,0,2.11811,215,NaN,NaN,100,215,1,1313.50000,2601.50000,0,0,0.00000,0.00000,NaN
37,0.00000,165,0,165,165,165,134.34261,260.00034,1353.50000,2619.50000,0,0.11200,0.11200,0,0.00000,0,1.62553,165,NaN,NaN,100,165,1,1353.50000,2619.50000,0,0,0.00000,0.00000,NaN
